,Species,Continent_of_Origin,Country_of_Origin,Harvest_Year,Expiration,Variety,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Moisture,Quakers,Category_One_Defects,Category_Two_Defects
634,Arabica,Asia,Taiwan,2016-01-01,2018-08-22,Typica,Green,Pulped natural / honey,7.67,7.42,7.5,7.42,7.58,7.5,10.0,10.0,10.0,0.11,5,0,0
638,Arabica,Asia,Indonesia,2015-01-01,2016-09-14,Typica,Blue-Green,Semi-washed / Semi-pulped,7.83,7.58,7.42,7.33,7.42,7.5,10.0,10.0,10.0,0.13,0,0,6
640,Arabica,Asia,Thailand,2014-01-01,2016-02-15,Caturra,Blue-Green,Washed / Wet,7.42,7.58,7.58,7.42,7.58,7.5,10.0,10.0,10.0,0.12,0,0,1
642,Arabica,Africa,Uganda,2013-01-01,2015-06-30,SL14,Green,Natural / Dry,7.83,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,0.12,0,0,0
643,Arabica,North America,Costa Rica,2013-01-01,2015-05-09,Catuai,Green,Washed / Wet,7.67,7.42,7.5,7.67,7.0,7.75,10.0,10.0,10.0,0.11,0,0,3
646,Arabica,South America,Colombia,2013-01-01,2014-04-16,Caturra,Blue-Green,Washed / Wet,7.75,7.25,7.33,7.42,7.5,7.83,10.0,10.0,10.0,0.11,0,0,3
648,Arabica,South America,Colombia,2013-01-01,2014-02-27,Caturra,Green,Washed / Wet,7.58,7.5,7.42,7.58,7.67,7.42,10.0,10.0,10.0,0.11,0,0,0
649,Arabica,North America,Mexico,2012-01-01,2013-09-04,Typica,Green,Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.5,10.0,10.0,10.0,0.1,0,0,6
650,Arabica,North America,Mexico,2012-01-01,2013-07-02,Typica,Green,Washed / Wet,7.67,7.58,7.58,7.75,7.67,6.83,10.0,10.0,10.0,0.12,0,0,0
651,Arabica,South America,Colombia,2012-01-01,2013-06-13,Caturra,Green,Washed / Wet,7.33,7.42,7.58,7.42,7.67,7.5,10.0,10.0,10.0,0.11,0,2,2
653,Arabica,South America,Brazil,2017-01-01,2018-10-20,Bourbon,Green,Natural / Dry,7.5,7.5,7.5,7.5,7.58,7.5,10.0,10.0,10.0,0.11,0,0,4
654,Arabica,Asia,Indonesia,2017-01-01,2018-09-04,Other,Green,Washed / Wet,7.83,7.75,7.25,7.5,7.42,7.33,10.0,10.0,10.0,0.11,0,0,5
655,Arabica,North America,Honduras,2017-01-01,2018-06-03,Caturra,Green,Washed / Wet,7.58,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,0.1,0,0,4
656,Arabica,North America,Guatemala,2016-01-01,2017-03-16,Bourbon,Green,Washed / Wet,7.5,7.5,7.33,7.5,7.67,7.5,10.0,10.0,10.0,0.1,2,0,2
659,Arabica,Africa,Tanzania,2014-01-01,2015-12-18,Other,Green,Washed / Wet,7.67,7.42,7.33,7.58,7.5,7.5,10.0,10.0,10.0,0.12,0,0,1
660,Arabica,Africa,Tanzania,2014-01-01,2015-12-12,Other,Bluish-Green,Washed / Wet,7.75,7.0,7.42,7.58,7.58,7.58,10.0,10.0,10.0,0.12,0,0,3
661,Arabica,North America,Mexico,2013-01-01,2015-04-14,Other,Green,Washed / Wet,7.42,7.58,7.5,7.67,7.25,7.5,10.0,10.0,10.0,0.0,0,0,1
662,Arabica,South America,Brazil,2013-01-01,2015-01-14,Yellow Bourbon,Bluish-Green,Semi-washed / Semi-pulped,7.42,7.5,7.67,7.33,7.42,7.67,10.0,10.0,10.0,0.11,0,0,0
663,Arabica,North America,Guatemala,2013-01-01,2014-05-30,Bourbon,Green,Washed / Wet,7.83,7.42,7.33,7.67,7.42,7.5,10.0,10.0,10.0,0.12,0,0,4
664,Arabica,South America,Colombia,2013-01-01,2014-05-07,Caturra,Green,Washed / Wet,7.5,7.5,7.42,7.42,7.58,7.58,10.0,10.0,10.0,0.11,0,0,1
665,Arabica,North America,Guatemala,2013-01-01,2014-02-26,Bourbon,Green,Washed / Wet,7.83,7.67,7.17,7.33,7.5,7.67,10.0,10.0,10.0,0.11,0,0,0
667,Arabica,North America,Mexico,2012-01-01,2013-07-26,Typica,Green,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,0.12,0,0,5
669,Arabica,North America,Guatemala,2012-01-01,2013-03-26,Caturra,Green,Natural / Dry,7.67,7.33,7.33,7.33,7.5,7.83,10.0,10.0,10.0,0.11,0,0,5
670,Arabica,South America,Brazil,2012-01-01,2013-03-16,Bourbon,Blue-Green,Semi-washed / Semi-pulped,7.67,7.42,7.33,7.67,7.5,7.5,10.0,10.0,10.0,0.0,0,0,4
671,Arabica,South America,Colombia,2012-01-01,2013-03-05,Caturra,Green,Washed / Wet,7.67,7.5,7.33,7.5,7.25,7.67,10.0,10.0,10.0,0.11,0,1,3
672,Arabica,North America,United States,2012-01-01,2013-02-22,Hawaiian Kona,Green,Washed / Wet,7.33,7.42,7.33,7.75,7.42,7.67,10.0,10.0,10.0,0.12,0,2,3
674,Arabica,North America,Honduras,2017-01-01,2018-09-27,Other,Green,Washed / Wet,7.42,7.67,7.17,7.58,7.58,7.5,10.0,10.0,10.0,0.12,1,0,6
675,Arabica,North America,Guatemala,2017-01-01,2018-09-08,Bourbon,Green,Washed / Wet,7.58,7.5,7.33,7.75,7.33,7.5,10.0,10.0,10.0,0.1,1,0,2
676,Arabica,North America,Guatemala,2016-01-01,2018-06-01,Bourbon,Green,Washed / Wet,7.67,7.58,7.25,7.67,7.42,7.33,10.0,10.0,10.0,0.12,0,0,0
677,Arabica,North America,Guatemala,2017-01-01,2018-06-01,Bourbon,Green,Washed / Wet,7.58,7.5,7.25,7.67,7.5,7.5,10.0,10.0,10.0,0.12,0,0,0
678,Arabica,North America,Guatemala,2017-01-01,2018-01-20,Caturra,Green,Washed / Wet,7.5,7.42,7.08,7.75,7.67,7.5,10.0,10.0,10.0,0.11,2,0,3
679,Arabica,South America,Colombia,2016-01-01,2017-08-05,Caturra,Green,Washed / Wet,5.08,7.75,7.83,7.75,7.83,8.08,10.0,10.0,10.0,0.11,0,0,1
680,Arabica,Asia,China,2015-01-01,2017-04-06,Catimor,Green,Washed / Wet,7.67,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,0.1,0,0,0
682,Arabica,Africa,Tanzania,2015-01-01,2016-11-15,Ruiru 11,Green,Washed / Wet,7.67,7.25,7.42,7.42,7.67,7.42,10.0,10.0,10.0,0.13,0,0,7
683,Arabica,South America,Brazil,2015-01-01,2016-10-07,Yellow Bourbon,Green,Natural / Dry,7.17,7.83,7.33,7.5,7.75,7.42,10.0,10.0,10.0,0.0,0,0,0
684,Arabica,North America,Guatemala,2013-01-01,2015-12-18,Caturra,Green,Washed / Wet,7.5,7.5,7.5,7.67,7.42,7.5,10.0,10.0,10.0,0.1,0,0,0
685,Arabica,North America,Mexico,2014-01-01,2015-08-14,Typica,Green,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,0.11,0,0,0
686,Arabica,South America,Brazil,2012-01-01,2015-05-08,Catuai,Blue-Green,Semi-washed / Semi-pulped,7.58,7.67,7.33,7.5,7.5,7.42,10.0,10.0,10.0,0.12,0,0,1
688,Arabica,South America,Brazil,2013-01-01,2014-12-30,Yellow Bourbon,Green,Natural / Dry,7.25,7.33,7.25,7.5,7.42,7.5,10.0,10.0,10.0,0.0,0,0,0
689,Arabica,North America,Mexico,2013-01-01,2014-12-12,Bourbon,Green,Washed / Wet,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10.0,10.0,0.12,0,0,0
691,Arabica,South America,Colombia,2013-01-01,2014-05-31,Caturra,Green,Washed / Wet,7.67,7.42,7.33,7.5,7.58,7.5,10.0,10.0,10.0,0.11,0,0,9
692,Arabica,North America,Mexico,2013-01-01,2014-03-29,Typica,Green,Washed / Wet,7.5,7.42,7.42,7.67,7.42,7.58,10.0,10.0,10.0,0.12,0,0,5
693,Arabica,North America,Mexico,2012-01-01,2013-09-11,Typica,Green,Semi-washed / Semi-pulped,7.42,7.58,7.5,7.42,7.58,7.5,10.0,10.0,10.0,0.13,0,0,2
694,Arabica,North America,Mexico,2012-01-01,2013-09-10,Typica,Green,Washed / Wet,7.42,7.58,7.33,7.58,7.5,7.5,10.0,10.0,10.0,0.14,0,0,9
695,Arabica,North America,Mexico,2012-01-01,2013-08-31,Caturra,Green,Washed / Wet,7.75,7.33,7.25,7.58,7.58,7.33,10.0,10.0,10.0,0.13,0,0,1
696,Arabica,North America,Mexico,2012-01-01,2013-07-25,Typica,Green,Washed / Wet,7.5,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0
697,Arabica,North America,Mexico,2012-01-01,2013-07-11,Pacamara,Green,Washed / Wet,7.58,7.58,7.17,7.5,7.5,7.5,10.0,10.0,10.0,0.14,0,0,6
698,Arabica,North America,Mexico,2012-01-01,2013-07-03,Caturra,Green,Washed / Wet,7.58,7.33,7.33,7.58,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0
700,Arabica,North America,Mexico,2012-01-01,2013-04-09,Typica,Bluish-Green,Washed / Wet,7.83,7.5,7.42,7.67,7.17,7.33,10.0,10.0,10.0,0.12,0,0,0
702,Arabica,South America,Brazil,2012-01-01,2013-01-22,Arusha,Blue-Green,Natural / Dry,7.75,7.5,7.42,7.42,7.5,7.42,10.0,10.0,10.0,0.11,0,0,2
703,Arabica,South America,Colombia,2011-01-01,2012-12-21,Caturra,Green,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.58,10.0,10.0,10.0,0.0,0,0,2
705,Arabica,North America,Honduras,2017-01-01,2018-04-06,Caturra,Green,Washed / Wet,7.5,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,0.1,1,0,8
706,Arabica,South America,Brazil,2016-01-01,2018-02-09,Catuai,Green,Natural / Dry,7.33,7.5,7.5,7.33,7.5,7.5,10.0,10.0,10.0,0.11,3,0,11
708,Arabica,South America,Brazil,2016-01-01,2017-08-16,Bourbon,Bluish-Green,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,0.11,2,0,3
709,Arabica,North America,Costa Rica,2015-01-01,2017-07-15,Caturra,Bluish-Green,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10.0,10.0,10.0,0.1,1,6,3
710,Arabica,North America,Costa Rica,2015-01-01,2017-05-17,Catuai,Green,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10.0,10.0,10.0,0.0,2,0,0
711,Arabica,Asia,China,2015-01-01,2017-04-05,Catimor,Green,Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10.0,10.0,10.0,0.12,6,0,2
712,Arabica,South America,Brazil,2015-01-01,2016-10-07,Bourbon,Green,Natural / Dry,8.25,7.83,7.25,8.33,8.17,8.08,10.0,6.67,10.0,0.07,0,0,0
713,Arabica,South America,Brazil,2015-01-01,2016-04-19,Mundo Novo,Green,Natural / Dry,7.42,7.5,7.5,7.42,7.5,7.58,10.0,10.0,10.0,0.11,0,0,10
714,Arabica,North America,Guatemala,2015-01-01,2016-03-09,Bourbon,Green,Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10.0,10.0,10.0,0.1,0,0,6
715,Arabica,Africa,Malawi,2014-01-01,2015-11-04,Gesha,Green,Washed / Wet,7.33,7.58,7.42,7.58,7.33,7.5,10.0,10.0,10.0,0.12,0,0,0
716,Arabica,South America,Brazil,2014-01-01,2015-10-15,Bourbon,Blue-Green,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8.0,10.0,10.0,6.67,0.11,0,0,0
717,Arabica,North America,Guatemala,2014-01-01,2015-06-10,Pacas,Green,Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10.0,10.0,0.12,0,0,3
719,Arabica,South America,Colombia,2013-01-01,2015-01-21,Caturra,Green,Washed / Wet,7.42,7.33,7.5,7.17,7.08,8.33,10.0,10.0,10.0,0.1,0,0,2
720,Arabica,Asia,Taiwan,2013-01-01,2014-12-26,Typica,Green,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0
721,Arabica,Asia,Taiwan,2013-01-01,2014-12-26,Typica,Green,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0
722,Arabica,North America,Guatemala,2013-01-01,2014-07-16,Bourbon,Green,Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10.0,10.0,10.0,0.12,0,2,1
723,Arabica,South America,Colombia,2013-01-01,2014-06-21,Caturra,Green,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10.0,10.0,10.0,0.0,0,0,1
724,Arabica,North America,Mexico,2013-01-01,2014-03-15,Typica,Green,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10.0,10.0,10.0,0.12,0,0,3
726,Arabica,North America,Guatemala,2012-01-01,2013-10-05,Bourbon,Green,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,0.11,0,0,3
728,Arabica,North America,Mexico,2012-01-01,2013-08-31,Bourbon,Green,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,0.13,0,0,9
729,Arabica,North America,Guatemala,2012-01-01,2013-05-23,Bourbon,Green,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10.0,10.0,10.0,0.1,0,2,5
730,Arabica,South America,Brazil,2012-01-01,2013-04-11,Mundo Novo,Green,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10.0,10.0,10.0,0.12,0,0,2
731,Arabica,North America,Mexico,2012-01-01,2013-03-05,Typica,Green,Washed / Wet,8.0,7.75,7.33,7.33,7.08,7.67,9.33,10.0,10.0,0.11,0,0,0
732,Arabica,South America,Brazil,2012-01-01,2013-02-16,Mundo Novo,Green,Washed / Wet,7.58,7.58,7.25,7.58,7.42,7.5,10.0,10.0,10.0,0.11,0,0,2
733,Arabica,South America,Colombia,2012-01-01,2013-01-30,Caturra,Green,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10.0,10.0,10.0,0.0,0,0,0
736,Arabica,North America,Guatemala,2016-01-01,2017-08-31,Pacas,Green,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10.0,10.0,10.0,0.11,2,0,2
737,Arabica,South America,Brazil,2015-01-01,2016-10-07,Yellow Bourbon,Green,Natural / Dry,7.42,7.67,7.5,7.08,7.5,7.42,10.0,10.0,10.0,0.0,0,0,9
738,Arabica,North America,El Salvador,2014-01-01,2016-07-07,Bourbon,Green,Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,0.12,0,0,0
739,Arabica,North America,Honduras,2015-01-01,2016-04-14,Catuai,Green,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,0.11,0,0,2
740,Arabica,Africa,Malawi,2014-01-01,2015-11-04,Gesha,Blue-Green,Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10.0,10.0,10.0,0.13,0,0,0
741,Arabica,South America,Brazil,2014-01-01,2015-10-16,Bourbon,Green,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10.0,10.0,10.0,0.11,0,0,0
743,Arabica,North America,Mexico,2013-01-01,2014-07-19,Mundo Novo,Blue-Green,Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10.0,10.0,10.0,0.12,0,0,4
744,Arabica,North America,United States,2013-01-01,2014-05-03,Hawaiian Kona,Bluish-Green,Natural / Dry,7.33,7.42,7.5,7.67,7.5,7.42,10.0,10.0,10.0,0.0,0,0,1
746,Arabica,North America,Guatemala,2012-01-01,2013-09-19,Bourbon,Green,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10.0,10.0,10.0,0.11,0,0,2
747,Arabica,North America,Mexico,2012-01-01,2013-08-31,Bourbon,Green,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10.0,10.0,10.0,0.13,0,0,3
748,Arabica,North America,Mexico,2012-01-01,2013-08-30,Typica,Green,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,0.12,0,0,13
749,Arabica,North America,El Salvador,2012-01-01,2013-08-21,Other,Green,Washed / Wet,7.75,7.33,7.33,7.5,7.5,7.5,10.0,10.0,10.0,0.0,0,2,5
750,Arabica,North America,Mexico,2012-01-01,2013-07-11,Typica,Green,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10.0,10.0,10.0,0.11,0,0,0
751,Arabica,North America,Mexico,2012-01-01,2013-04-02,Typica,Green,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,0.1,0,0,3
752,Arabica,South America,Colombia,2012-01-01,2013-02-21,Caturra,Green,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10.0,10.0,10.0,0.12,0,0,1
753,Arabica,South America,Colombia,2012-01-01,2013-02-08,Caturra,Green,Washed / Wet,7.67,7.33,7.33,7.33,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0
754,Arabica,South America,Brazil,2012-01-01,2013-01-22,Arusha,Green,Natural / Dry,7.67,7.58,7.42,7.0,7.5,7.58,10.0,10.0,10.0,0.12,0,0,1
756,Arabica,South America,Brazil,2016-01-01,2017-08-16,Bourbon,Green,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10.0,10.0,10.0,0.11,1,0,5
757,Arabica,North America,Honduras,2015-01-01,2017-06-09,Caturra,Bluish-Green,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10.0,10.0,10.0,0.11,1,0,2
759,Arabica,Africa,Tanzania,2015-01-01,2016-11-15,Bourbon,Green,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,0.13,0,1,6
760,Arabica,Africa,Tanzania,2015-01-01,2016-10-19,Other,Green,Washed / Wet,7.42,7.42,7.42,7.5,7.5,7.33,10.0,10.0,10.0,0.12,0,0,1
761,Arabica,South America,Brazil,2015-01-01,2016-10-07,Yellow Bourbon,Green,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10.0,10.0,10.0,0.0,0,0,1
763,Arabica,North America,Honduras,2015-01-01,2016-04-14,Catuai,Green,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10.0,10.0,10.0,0.11,0,0,2
764,Arabica,North America,Guatemala,2014-01-01,2016-03-20,Bourbon,Blue-Green,Washed / Wet,7.42,7.42,7.5,7.5,7.42,7.5,10.0,10.0,10.0,0.09,0,0,4
765,Arabica,South America,Brazil,2014-01-01,2016-01-15,Mundo Novo,Green,Natural / Dry,7.58,7.5,7.42,7.25,7.5,7.42,10.0,10.0,10.0,0.12,0,0,1
766,Arabica,Africa,Tanzania,2014-01-01,2015-12-15,Other,Green,Washed / Wet,7.75,7.42,7.42,7.58,7.33,7.42,10.0,10.0,10.0,0.12,0,0,1
767,Arabica,North America,Mexico,2013-01-01,2015-07-15,Other,Green,Washed / Wet,7.42,7.33,7.17,7.42,7.33,8.17,10.0,10.0,10.0,0.12,0,0,0
769,Arabica,Asia,Taiwan,2013-01-01,2014-12-26,Typica,Green,Other,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0
770,Arabica,Asia,Taiwan,2012-01-01,2014-05-29,Typica,Green,Washed / Wet,7.67,7.5,7.5,7.17,7.17,7.58,10.0,10.0,10.0,0.0,0,0,0
771,Arabica,South America,Colombia,2013-01-01,2014-03-20,Caturra,Bluish-Green,Washed / Wet,7.33,7.25,7.25,7.58,7.75,7.5,10.0,10.0,10.0,0.0,0,0,1
774,Arabica,North America,Mexico,2012-01-01,2013-07-11,Typica,Green,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10.0,10.0,10.0,0.12,0,0,4
775,Arabica,North America,Mexico,2012-01-01,2013-07-02,Typica,Green,Washed / Wet,7.0,7.67,7.5,7.5,7.42,7.5,10.0,10.0,10.0,0.1,0,0,1
778,Arabica,South America,Colombia,2016-01-01,2018-02-20,Caturra,Green,Washed / Wet,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10.0,0.0,7,0,6
779,Arabica,South America,Brazil,2016-01-01,2017-08-16,Bourbon,Green,Natural / Dry,7.42,7.58,7.42,7.5,7.42,7.25,10.0,10.0,10.0,0.11,1,0,3
780,Arabica,South America,Brazil,2015-01-01,2016-10-07,Yellow Bourbon,Green,Natural / Dry,7.25,7.25,7.58,7.58,7.25,7.92,10.0,10.0,10.0,0.0,0,0,1
781,Arabica,North America,Costa Rica,2015-01-01,2016-04-09,Caturra,Blue-Green,Washed / Wet,7.75,7.42,7.42,7.25,7.17,7.42,10.0,10.0,10.0,0.0,0,0,0
782,Arabica,Africa,Tanzania,2014-01-01,2016-03-24,Bourbon,Green,Washed / Wet,7.42,7.33,7.42,7.42,7.5,7.58,10.0,10.0,10.0,0.12,0,0,5
783,Arabica,Africa,Tanzania,2014-01-01,2016-01-08,Other,Green,Washed / Wet,7.42,7.5,7.5,7.33,7.33,7.5,10.0,10.0,10.0,0.12,0,0,3
785,Arabica,North America,Costa Rica,2013-01-01,2015-03-21,Caturra,Green,Washed / Wet,7.58,7.33,7.33,7.33,7.5,7.67,10.0,10.0,10.0,0.11,0,0,2
786,Arabica,North America,United States,2012-01-01,2013-11-26,Hawaiian Kona,Bluish-Green,Natural / Dry,7.25,7.58,7.58,7.25,7.5,7.42,10.0,10.0,10.0,0.11,0,0,0
787,Arabica,North America,Mexico,2012-01-01,2013-09-10,Typica,Green,Washed / Wet,7.42,7.58,7.5,7.33,7.42,7.42,10.0,10.0,10.0,0.13,0,0,7
788,Arabica,North America,Mexico,2012-01-01,2013-08-30,Typica,Green,Washed / Wet,7.5,7.42,7.42,7.5,7.25,7.5,10.0,10.0,10.0,0.13,0,3,13
789,Arabica,North America,Mexico,2012-01-01,2013-07-26,Typica,Green,Washed / Wet,7.67,7.5,7.25,7.58,7.42,7.33,10.0,10.0,10.0,0.11,0,0,11
790,Arabica,Asia,Vietnam,2012-01-01,2013-07-23,Other,Green,Natural / Dry,7.67,8.0,7.17,7.08,7.67,7.08,10.0,10.0,10.0,0.12,0,0,2
791,Arabica,North America,Mexico,2012-01-01,2013-07-11,Typica,Green,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10.0,10.0,10.0,0.11,0,0,1
792,Arabica,North America,United States,2012-01-01,2013-02-22,Hawaiian Kona,Green,Washed / Wet,7.33,7.5,7.33,7.58,7.08,7.83,10.0,10.0,10.0,0.1,0,0,2
794,Arabica,North America,Honduras,2017-01-01,2018-06-01,Caturra,Green,Washed / Wet,7.5,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,0.12,0,0,1
795,Arabica,North America,Honduras,2016-01-01,2018-04-06,Caturra,Green,Natural / Dry,7.5,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,0.1,1,0,7
796,Arabica,South America,Brazil,2016-01-01,2017-08-16,Bourbon,Green,Natural / Dry,7.5,7.33,7.42,7.5,7.33,7.42,10.0,10.0,10.0,0.11,2,0,3
797,Arabica,Africa,Tanzania,2015-01-01,2016-11-15,Other,Green,Washed / Wet,7.67,7.33,7.33,7.42,7.42,7.42,10.0,10.0,10.0,0.13,0,0,20
798,Arabica,Asia,Laos,2015-01-01,2016-11-04,Other,Blue-Green,Washed / Wet,7.42,7.5,7.25,7.33,7.5,7.5,10.0,10.0,10.0,0.12,0,0,0
799,Arabica,Africa,Tanzania,2014-01-01,2015-12-18,Other,Green,Washed / Wet,7.42,7.42,7.33,7.58,7.33,7.42,10.0,10.0,10.0,0.12,0,0,3
800,Arabica,Africa,Malawi,2014-01-01,2015-10-31,Gesha,Bluish-Green,Washed / Wet,7.5,7.42,7.33,7.58,7.33,7.5,10.0,10.0,10.0,0.13,0,0,1
801,Arabica,Asia,Taiwan,2013-01-01,2015-07-22,Typica,Green,Washed / Wet,7.33,7.5,7.17,7.42,7.5,7.33,10.0,10.0,10.0,0.09,0,0,0
803,Arabica,North America,Costa Rica,2013-01-01,2015-06-09,Catuai,Green,Washed / Wet,7.5,7.25,7.33,7.33,7.75,7.5,10.0,10.0,10.0,0.1,0,0,4
804,Arabica,North America,Honduras,2014-01-01,2015-04-30,Caturra,Green,Washed / Wet,7.33,7.33,7.33,7.5,7.5,7.83,10.0,10.0,10.0,0.11,0,0,5
805,Arabica,South America,Colombia,2013-01-01,2014-09-13,Caturra,Green,Washed / Wet,7.33,7.33,7.58,7.5,7.5,7.58,10.0,10.0,10.0,0.11,0,0,1
806,Arabica,Asia,Taiwan,2012-01-01,2014-06-03,Typica,Bluish-Green,Washed / Wet,7.42,7.58,7.33,7.42,8.0,7.5,9.33,10.0,10.0,0.12,0,0,0
807,Arabica,South America,Brazil,2012-01-01,2014-05-21,Mundo Novo,Blue-Green,Natural / Dry,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,0.11,0,0,0
808,Arabica,North America,Mexico,2012-01-01,2013-07-11,Typica,Green,Washed / Wet,7.67,7.33,7.25,7.5,7.42,7.42,10.0,10.0,10.0,0.12,0,0,1
809,Arabica,South America,Brazil,2012-01-01,2013-06-04,Mundo Novo,Green,Natural / Dry,7.42,7.5,7.33,7.5,7.33,7.5,10.0,10.0,10.0,0.12,0,0,1
810,Arabica,South America,Brazil,2012-01-01,2013-04-11,Catuai,Blue-Green,Semi-washed / Semi-pulped,7.42,7.5,7.25,7.5,7.5,7.42,10.0,10.0,10.0,0.11,0,0,1
811,Arabica,North America,Guatemala,2012-01-01,2013-03-26,Bourbon,Green,Natural / Dry,7.33,7.33,7.33,7.5,7.67,7.67,10.0,10.0,10.0,0.11,0,0,3
812,Arabica,South America,Brazil,2012-01-01,2013-02-16,Mundo Novo,Green,Semi-washed / Semi-pulped,7.58,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,0.12,0,0,2
813,Arabica,North America,Guatemala,2012-01-01,2013-01-31,Bourbon,Green,Washed / Wet,7.75,7.33,7.33,7.42,7.75,7.67,10.0,10.0,9.33,0.0,0,0,10
815,Arabica,North America,Guatemala,2017-01-01,2018-08-22,Bourbon,Green,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10.0,10.0,0.1,0,0,1
816,Arabica,North America,Guatemala,2017-01-01,2018-06-22,Bourbon,Green,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,0.11,2,0,0
817,Arabica,North America,Honduras,2017-01-01,2018-06-01,Caturra,Green,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,0.12,0,0,1
818,Arabica,South America,Brazil,2016-01-01,2017-10-26,Catuai,Green,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10.0,10.0,10.0,0.11,0,0,4
819,Arabica,North America,El Salvador,2014-01-01,2016-05-04,Bourbon,Green,Washed / Wet,7.67,7.58,7.33,7.5,7.5,7.67,10.0,10.0,9.33,0.11,0,0,2
820,Arabica,North America,Guatemala,2015-01-01,2016-04-19,Catuai,Green,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10.0,10.0,10.0,0.11,0,0,7
821,Arabica,Africa,Tanzania,2014-01-01,2016-01-06,Other,Green,Washed / Wet,7.33,7.33,7.33,7.42,7.5,7.58,10.0,10.0,10.0,0.12,0,0,4
825,Arabica,Asia,Taiwan,2012-01-01,2014-12-26,Typica,Green,Other,7.5,7.5,7.42,7.25,7.5,7.5,10.0,10.0,10.0,0.11,0,0,0
